City or Municipality,Barangay,Status,Operational Status,lat,lon,Address,Confirmed MRF Coordinates
Caloocan City,Barangay 164,Sutained and operational,yes,14.6252,120.9742,None provided,no
Malabon City,Barangay Hulong Duhat,"New MRF was re-established at a new location, sustained and operational",yes,14.678,120.942,None provided,no
Mandaluyong City,Barangay Barangka Ibaba,"Dismantled on September 1st, 2015",no,14.5697,121.0392,None provided,no
Manila City,Barangay 529,MRF didn't work out due to lot availability--shredding machine purchased instead,maybe,14.6142,121.0016,None provided,no
Valenzuela City,Barangay Mapulang Lupa,MRF with happy soil composting is sustained and operational,yes,14.7021,121.0001,None provided,no
Quezon City,Barangay Ramon Magsaysay,Sustained and operational,yes,14.6592,121.0215,None provided,no
San Juan City,Barangay Addition Hills,Stopped operation ,no,14.591778,121.033388,"Hoover Street, San Juan, 1500 Metro Manila, Philippines",yes
Navotas City,Barnagay San Rafael Village,Sustained and operational,yes,14.6368,120.964,None provided,no
Manila City,Barangay 879,Dismantled June 2017,no,14.582,121.0126,None provided,no
Pateros,Barangay St. Rosario Kanluran,Operation of MRF & Composter was temporarily stopped due to COVID 19 pandemic,maybe,14.5516,121.0683,None provided,no
Makati City,Barangay East Rembo,MRF is sustained and operational; no rehabilitation happens during the time of monitoring,yes,14.579015,121.016365,"P. Domingo Street, Santa Ana, Makati, 1009 Metro Manila, Philippines",yes
Malabon City,Barangay Catmon,Sustained and operational but under construction for rehabilitation ,yes,10.5153,125.0926,None provided,no
Muntinlupa City,Barangay Sucat,MRF is operatoinal and sustained but closed temporarily due to COVID 19 pandemic; MRF was reestablished at new location,maybe,14.457,121.0531,None provided,no
Manila City,Barangay 105,Not operational--no funds available for the operation of MRF,no,14.6239,120.9573,None provided,no
Mandaluyong City,Barangay Addition Hills,MRF is sustained and operational,yes,14.5852,121.0348,None provided,no
Pasig City,Barangay Ugong,MRF is sustained and operational,yes,14.5792,121.0785,None provided,no
Valenzuela City,Barangay Bignay,MRF was already dilapidated; not operational,no,14.7456,121.002,None provided,no
Navotas City,Barangay Tanza,Temporarily stopped due to COVID 19 pandemic,maybe,14.67906,120.9371,None provided,no
Quezon City,Barangay Manresa,MRG is sustained and operational,yes,14.641,121.0006,None provided,no
Quezon City,Barnagay St. Ignatius,MRF is sustained and operational,yes,14.6126,121.073,None provided,no
San Juan City,Barangay Pasadena,MRF is sustained and operational,yes,14.608742,121.034137,"201 Pasadena Drive, San Juan, 1099 Metro Manila, Philippines",yes
