Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,1792287.9999999998,1.792288,2001
as,Asia,ashkg,Hong Kong,hkg,93421,0.093421,2001
as,Asia,asidn,Indonesia,idn,69600,0.0696,2001
as,Asia,asind,India,ind,60655,0.060655,2001
as,Asia,asjpn,Japan,jpn,5316903,5.316903,2001
as,Asia,askor,South Korea,kor,6782736.999999999,6.782737,2001
as,Asia,asmys,Malaysia,mys,3752058,3.752058,2001
as,Asia,assgp,Singapore,sgp,98740,0.09874,2001
as,Asia,astha,Thailand,tha,1617004,1.617004,2001
as,Asia,asxxb,Taiwan,,985949,0.985949,2001
na,North America,nacym,Cayman Islands,cym,16000,0.016,2001
na,North America,nausa,United States,usa,51000,0.051,2001
