"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",64
1,"Animal Products",101,"Live animals",10102,"Bovine",3312
1,"Animal Products",101,"Live animals",10105,"Poultry",134343
1,"Animal Products",101,"Live animals",10106,"Other Animals",2096131
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",3
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",33787
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",298292.00000000006
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",9820
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",36309
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",1350851
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",46927
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",26858.999999999996
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",64074
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10301,"Live Fish",92390501
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10302,"Non-fillet Fresh Fish",17630149
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10303,"Non-fillet Frozen Fish",72073824
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10304,"Fish Fillets",101019802
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10305,"Fish: dried, salted, smoked or in brine",18155884
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10306,"Crustaceans",25411638
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10307,"Molluscs",36662832
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2603837
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",20624641
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",3959038.0000000005
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",274225
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2055551.0000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",3616442
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",47805
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",10595
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",3784
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",231.99999999999997
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",11434.000000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",106830
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",4555861
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",42218.99999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",500080
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",12851
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",4191572
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",543840
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",4086814
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",807
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",1716.9999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",439855
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",12802
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",3836.0000000000005
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",13937
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",29637
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",8949488
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",1303018
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",118349
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",1525003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",262045
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2682730
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",415903099
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",474665
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",1408004022
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",428593555
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",128364
